index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","airport","airportEntrance","terminal","assets/audio/words/airport/airport-entrance--terminal.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--terminal.mp3"
"002","airport","airportEntrance","departures","assets/audio/words/airport/airport-entrance--departures.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--departures.mp3"
"003","airport","airportEntrance","trolley","assets/audio/words/airport/airport-entrance--trolley.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--trolley.mp3"
"004","airport","airportEntrance","passport","assets/audio/words/airport/airport-entrance--passport.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--passport.mp3"
"005","airport","airportEntrance","itinerary","assets/audio/words/airport/airport-entrance--itinerary.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--itinerary.mp3"
"006","airport","airportEntrance","information desk","assets/audio/words/airport/airport-entrance--information-desk.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--information-desk.mp3"
"007","airport","airportEntrance","proceed","assets/audio/words/airport/airport-entrance--proceed.mp3","deploy-cn/assets/audio/words/airport/airport-entrance--proceed.mp3"
"008","airport","checkInCounter","airline","assets/audio/words/airport/check-in-counter--airline.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--airline.mp3"
"009","airport","checkInCounter","kiosk","assets/audio/words/airport/check-in-counter--kiosk.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--kiosk.mp3"
"010","airport","checkInCounter","boarding pass","assets/audio/words/airport/check-in-counter--boarding-pass.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--boarding-pass.mp3"
"011","airport","checkInCounter","confirmation","assets/audio/words/airport/check-in-counter--confirmation.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--confirmation.mp3"
"012","airport","checkInCounter","destination","assets/audio/words/airport/check-in-counter--destination.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--destination.mp3"
"013","airport","checkInCounter","surname","assets/audio/words/airport/check-in-counter--surname.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--surname.mp3"
"014","airport","checkInCounter","check in","assets/audio/words/airport/check-in-counter--check-in.mp3","deploy-cn/assets/audio/words/airport/check-in-counter--check-in.mp3"
"015","airport","baggageDrop","suitcase","assets/audio/words/airport/baggage-drop--suitcase.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--suitcase.mp3"
"016","airport","baggageDrop","carry-on","assets/audio/words/airport/baggage-drop--carry-on.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--carry-on.mp3"
"017","airport","baggageDrop","checked luggage","assets/audio/words/airport/baggage-drop--checked-luggage.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--checked-luggage.mp3"
"018","airport","baggageDrop","conveyor belt","assets/audio/words/airport/baggage-drop--conveyor-belt.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--conveyor-belt.mp3"
"019","airport","baggageDrop","weight limit","assets/audio/words/airport/baggage-drop--weight-limit.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--weight-limit.mp3"
"020","airport","baggageDrop","fragile","assets/audio/words/airport/baggage-drop--fragile.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--fragile.mp3"
"021","airport","baggageDrop","drop off","assets/audio/words/airport/baggage-drop--drop-off.mp3","deploy-cn/assets/audio/words/airport/baggage-drop--drop-off.mp3"
"022","airport","securityCheck","security tray","assets/audio/words/airport/security-check--security-tray.mp3","deploy-cn/assets/audio/words/airport/security-check--security-tray.mp3"
"023","airport","securityCheck","scanner","assets/audio/words/airport/security-check--scanner.mp3","deploy-cn/assets/audio/words/airport/security-check--scanner.mp3"
"024","airport","securityCheck","metal detector","assets/audio/words/airport/security-check--metal-detector.mp3","deploy-cn/assets/audio/words/airport/security-check--metal-detector.mp3"
"025","airport","securityCheck","liquids","assets/audio/words/airport/security-check--liquids.mp3","deploy-cn/assets/audio/words/airport/security-check--liquids.mp3"
"026","airport","securityCheck","laptop","assets/audio/words/airport/security-check--laptop.mp3","deploy-cn/assets/audio/words/airport/security-check--laptop.mp3"
"027","airport","securityCheck","jacket","assets/audio/words/airport/security-check--jacket.mp3","deploy-cn/assets/audio/words/airport/security-check--jacket.mp3"
"028","airport","securityCheck","screen","assets/audio/words/airport/security-check--screen.mp3","deploy-cn/assets/audio/words/airport/security-check--screen.mp3"
