index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","apartment","apartment-entrance","building directory","assets/audio/words/apartment/apartment-entrance--building-directory.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--building-directory.mp3"
"002","apartment","apartment-entrance","entry buzzer","assets/audio/words/apartment/apartment-entrance--entry-buzzer.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--entry-buzzer.mp3"
"003","apartment","apartment-entrance","unit number","assets/audio/words/apartment/apartment-entrance--unit-number.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--unit-number.mp3"
"004","apartment","apartment-entrance","parcel locker","assets/audio/words/apartment/apartment-entrance--parcel-locker.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--parcel-locker.mp3"
"005","apartment","apartment-entrance","security desk","assets/audio/words/apartment/apartment-entrance--security-desk.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--security-desk.mp3"
"006","apartment","apartment-entrance","ring the buzzer","assets/audio/words/apartment/apartment-entrance--ring-the-buzzer.mp3","deploy-cn/assets/audio/words/apartment/apartment-entrance--ring-the-buzzer.mp3"
"007","apartment","apartment-viewing","viewing appointment","assets/audio/words/apartment/apartment-viewing--viewing-appointment.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--viewing-appointment.mp3"
"008","apartment","apartment-viewing","leasing agent","assets/audio/words/apartment/apartment-viewing--leasing-agent.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--leasing-agent.mp3"
"009","apartment","apartment-viewing","visitor badge","assets/audio/words/apartment/apartment-viewing--visitor-badge.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--visitor-badge.mp3"
"010","apartment","apartment-viewing","tour schedule","assets/audio/words/apartment/apartment-viewing--tour-schedule.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--tour-schedule.mp3"
"011","apartment","apartment-viewing","door viewer","assets/audio/words/apartment/apartment-viewing--door-viewer.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--door-viewer.mp3"
"012","apartment","apartment-viewing","confirm the viewing","assets/audio/words/apartment/apartment-viewing--confirm-the-viewing.mp3","deploy-cn/assets/audio/words/apartment/apartment-viewing--confirm-the-viewing.mp3"
"013","apartment","apartment-living-space","living area","assets/audio/words/apartment/apartment-living-space--living-area.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--living-area.mp3"
"014","apartment","apartment-living-space","storage nook","assets/audio/words/apartment/apartment-living-space--storage-nook.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--storage-nook.mp3"
"015","apartment","apartment-living-space","roller blind","assets/audio/words/apartment/apartment-living-space--roller-blind.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--roller-blind.mp3"
"016","apartment","apartment-living-space","baseboard","assets/audio/words/apartment/apartment-living-space--baseboard.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--baseboard.mp3"
"017","apartment","apartment-living-space","intercom panel","assets/audio/words/apartment/apartment-living-space--intercom-panel.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--intercom-panel.mp3"
"018","apartment","apartment-living-space","check the natural light","assets/audio/words/apartment/apartment-living-space--check-natural-light.mp3","deploy-cn/assets/audio/words/apartment/apartment-living-space--check-natural-light.mp3"
"019","apartment","apartment-kitchen-utilities","range hood","assets/audio/words/apartment/apartment-kitchen-utilities--range-hood.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--range-hood.mp3"
"020","apartment","apartment-kitchen-utilities","induction cooktop","assets/audio/words/apartment/apartment-kitchen-utilities--induction-cooktop.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--induction-cooktop.mp3"
"021","apartment","apartment-kitchen-utilities","dish rack","assets/audio/words/apartment/apartment-kitchen-utilities--dish-rack.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--dish-rack.mp3"
"022","apartment","apartment-kitchen-utilities","water meter","assets/audio/words/apartment/apartment-kitchen-utilities--water-meter.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--water-meter.mp3"
"023","apartment","apartment-kitchen-utilities","utility closet","assets/audio/words/apartment/apartment-kitchen-utilities--utility-closet.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--utility-closet.mp3"
"024","apartment","apartment-kitchen-utilities","test the tap","assets/audio/words/apartment/apartment-kitchen-utilities--test-the-tap.mp3","deploy-cn/assets/audio/words/apartment/apartment-kitchen-utilities--test-the-tap.mp3"
"025","apartment","apartment-rent-details","monthly rent","assets/audio/words/apartment/apartment-rent-details--monthly-rent.mp3","deploy-cn/assets/audio/words/apartment/apartment-rent-details--monthly-rent.mp3"
