index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","campus","campusEntrance","campus","assets/audio/words/campus/campus-entrance--campus.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--campus.mp3"
"002","campus","campusEntrance","entrance","assets/audio/words/campus/campus-entrance--entrance.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--entrance.mp3"
"003","campus","campusEntrance","courtyard","assets/audio/words/campus/campus-entrance--courtyard.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--courtyard.mp3"
"004","campus","campusEntrance","schedule","assets/audio/words/campus/campus-entrance--schedule.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--schedule.mp3"
"005","campus","campusEntrance","notice board","assets/audio/words/campus/campus-entrance--notice-board.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--notice-board.mp3"
"006","campus","campusEntrance","uniform","assets/audio/words/campus/campus-entrance--uniform.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--uniform.mp3"
"007","campus","campusEntrance","enter","assets/audio/words/campus/campus-entrance--enter.mp3","deploy-cn/assets/audio/words/campus/campus-entrance--enter.mp3"
"008","campus","classroom","classroom","assets/audio/words/campus/classroom--classroom.mp3","deploy-cn/assets/audio/words/campus/classroom--classroom.mp3"
"009","campus","classroom","desk","assets/audio/words/campus/classroom--desk.mp3","deploy-cn/assets/audio/words/campus/classroom--desk.mp3"
"010","campus","classroom","whiteboard","assets/audio/words/campus/classroom--whiteboard.mp3","deploy-cn/assets/audio/words/campus/classroom--whiteboard.mp3"
"011","campus","classroom","notebook","assets/audio/words/campus/classroom--notebook.mp3","deploy-cn/assets/audio/words/campus/classroom--notebook.mp3"
"012","campus","classroom","lesson","assets/audio/words/campus/classroom--lesson.mp3","deploy-cn/assets/audio/words/campus/classroom--lesson.mp3"
"013","campus","classroom","question","assets/audio/words/campus/classroom--question.mp3","deploy-cn/assets/audio/words/campus/classroom--question.mp3"
"014","campus","classroom","answer","assets/audio/words/campus/classroom--answer.mp3","deploy-cn/assets/audio/words/campus/classroom--answer.mp3"
"015","campus","library","library","assets/audio/words/campus/library--library.mp3","deploy-cn/assets/audio/words/campus/library--library.mp3"
"016","campus","library","bookshelf","assets/audio/words/campus/library--bookshelf.mp3","deploy-cn/assets/audio/words/campus/library--bookshelf.mp3"
"017","campus","library","dictionary","assets/audio/words/campus/library--dictionary.mp3","deploy-cn/assets/audio/words/campus/library--dictionary.mp3"
"018","campus","library","page","assets/audio/words/campus/library--page.mp3","deploy-cn/assets/audio/words/campus/library--page.mp3"
"019","campus","library","title","assets/audio/words/campus/library--title.mp3","deploy-cn/assets/audio/words/campus/library--title.mp3"
"020","campus","library","library card","assets/audio/words/campus/library--library-card.mp3","deploy-cn/assets/audio/words/campus/library--library-card.mp3"
"021","campus","library","borrow","assets/audio/words/campus/library--borrow.mp3","deploy-cn/assets/audio/words/campus/library--borrow.mp3"
"022","campus","cafeteria","cafeteria","assets/audio/words/campus/cafeteria--cafeteria.mp3","deploy-cn/assets/audio/words/campus/cafeteria--cafeteria.mp3"
"023","campus","cafeteria","tray","assets/audio/words/campus/cafeteria--tray.mp3","deploy-cn/assets/audio/words/campus/cafeteria--tray.mp3"
"024","campus","cafeteria","menu","assets/audio/words/campus/cafeteria--menu.mp3","deploy-cn/assets/audio/words/campus/cafeteria--menu.mp3"
"025","campus","cafeteria","lunch","assets/audio/words/campus/cafeteria--lunch.mp3","deploy-cn/assets/audio/words/campus/cafeteria--lunch.mp3"
"026","campus","cafeteria","soup","assets/audio/words/campus/cafeteria--soup.mp3","deploy-cn/assets/audio/words/campus/cafeteria--soup.mp3"
"027","campus","cafeteria","seat","assets/audio/words/campus/cafeteria--seat.mp3","deploy-cn/assets/audio/words/campus/cafeteria--seat.mp3"
"028","campus","cafeteria","order","assets/audio/words/campus/cafeteria--order.mp3","deploy-cn/assets/audio/words/campus/cafeteria--order.mp3"
"029","campus","playground","playground","assets/audio/words/campus/playground--playground.mp3","deploy-cn/assets/audio/words/campus/playground--playground.mp3"
"030","campus","playground","basketball court","assets/audio/words/campus/playground--basketball-court.mp3","deploy-cn/assets/audio/words/campus/playground--basketball-court.mp3"
"031","campus","playground","soccer field","assets/audio/words/campus/playground--soccer-field.mp3","deploy-cn/assets/audio/words/campus/playground--soccer-field.mp3"
"032","campus","playground","whistle","assets/audio/words/campus/playground--whistle.mp3","deploy-cn/assets/audio/words/campus/playground--whistle.mp3"
"033","campus","playground","teamwork","assets/audio/words/campus/playground--teamwork.mp3","deploy-cn/assets/audio/words/campus/playground--teamwork.mp3"
"034","campus","playground","scoreboard","assets/audio/words/campus/playground--scoreboard.mp3","deploy-cn/assets/audio/words/campus/playground--scoreboard.mp3"
