index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","clinic","clinic-entrance","clinic sign","assets/audio/words/clinic/clinic-entrance--clinic-sign.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--clinic-sign.mp3"
"002","clinic","clinic-entrance","entrance mat","assets/audio/words/clinic/clinic-entrance--entrance-mat.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--entrance-mat.mp3"
"003","clinic","clinic-entrance","opening hours","assets/audio/words/clinic/clinic-entrance--opening-hours.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--opening-hours.mp3"
"004","clinic","clinic-entrance","health notice","assets/audio/words/clinic/clinic-entrance--health-notice.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--health-notice.mp3"
"005","clinic","clinic-entrance","sanitizer station","assets/audio/words/clinic/clinic-entrance--sanitizer-station.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--sanitizer-station.mp3"
"006","clinic","clinic-entrance","enter quietly","assets/audio/words/clinic/clinic-entrance--enter-quietly.mp3","deploy-cn/assets/audio/words/clinic/clinic-entrance--enter-quietly.mp3"
"007","clinic","clinic-registration","intake form","assets/audio/words/clinic/clinic-registration--intake-form.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--intake-form.mp3"
"008","clinic","clinic-registration","insurance card","assets/audio/words/clinic/clinic-registration--insurance-card.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--insurance-card.mp3"
"009","clinic","clinic-registration","date of birth","assets/audio/words/clinic/clinic-registration--date-of-birth.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--date-of-birth.mp3"
"010","clinic","clinic-registration","contact number","assets/audio/words/clinic/clinic-registration--contact-number.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--contact-number.mp3"
"011","clinic","clinic-registration","privacy notice","assets/audio/words/clinic/clinic-registration--privacy-notice.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--privacy-notice.mp3"
"012","clinic","clinic-registration","confirm details","assets/audio/words/clinic/clinic-registration--confirm-details.mp3","deploy-cn/assets/audio/words/clinic/clinic-registration--confirm-details.mp3"
