index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","hotel","hotelArrival","hotel","assets/audio/words/hotel/hotel-arrival--hotel.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--hotel.mp3"
"002","hotel","hotelArrival","canopy","assets/audio/words/hotel/hotel-arrival--canopy.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--canopy.mp3"
"003","hotel","hotelArrival","bell cart","assets/audio/words/hotel/hotel-arrival--bell-cart.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--bell-cart.mp3"
"004","hotel","hotelArrival","concierge","assets/audio/words/hotel/hotel-arrival--concierge.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--concierge.mp3"
"005","hotel","hotelArrival","atrium","assets/audio/words/hotel/hotel-arrival--atrium.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--atrium.mp3"
"006","hotel","hotelArrival","approach","assets/audio/words/hotel/hotel-arrival--approach.mp3","deploy-cn/assets/audio/words/hotel/hotel-arrival--approach.mp3"
"007","hotel","hotelBooking","booking reference","assets/audio/words/hotel/hotel-booking--booking-reference.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--booking-reference.mp3"
"008","hotel","hotelBooking","vacancy","assets/audio/words/hotel/hotel-booking--vacancy.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--vacancy.mp3"
"009","hotel","hotelBooking","deposit","assets/audio/words/hotel/hotel-booking--deposit.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--deposit.mp3"
"010","hotel","hotelBooking","signature","assets/audio/words/hotel/hotel-booking--signature.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--signature.mp3"
"011","hotel","hotelBooking","room number","assets/audio/words/hotel/hotel-booking--room-number.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--room-number.mp3"
"012","hotel","hotelBooking","verify","assets/audio/words/hotel/hotel-booking--verify.mp3","deploy-cn/assets/audio/words/hotel/hotel-booking--verify.mp3"
"013","hotel","hotelElevator","keycard","assets/audio/words/hotel/hotel-elevator--keycard.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--keycard.mp3"
"014","hotel","hotelElevator","elevator","assets/audio/words/hotel/hotel-elevator--elevator.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--elevator.mp3"
"015","hotel","hotelElevator","floor guide","assets/audio/words/hotel/hotel-elevator--floor-guide.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--floor-guide.mp3"
"016","hotel","hotelElevator","bellhop","assets/audio/words/hotel/hotel-elevator--bellhop.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--bellhop.mp3"
"017","hotel","hotelElevator","corridor","assets/audio/words/hotel/hotel-elevator--corridor.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--corridor.mp3"
"018","hotel","hotelElevator","ride","assets/audio/words/hotel/hotel-elevator--ride.mp3","deploy-cn/assets/audio/words/hotel/hotel-elevator--ride.mp3"
"019","hotel","hotelGuestRoom","guest room","assets/audio/words/hotel/hotel-guest-room--guest-room.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--guest-room.mp3"
"020","hotel","hotelGuestRoom","thermostat","assets/audio/words/hotel/hotel-guest-room--thermostat.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--thermostat.mp3"
"021","hotel","hotelGuestRoom","minibar","assets/audio/words/hotel/hotel-guest-room--minibar.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--minibar.mp3"
"022","hotel","hotelGuestRoom","safe","assets/audio/words/hotel/hotel-guest-room--safe.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--safe.mp3"
"023","hotel","hotelGuestRoom","bedside lamp","assets/audio/words/hotel/hotel-guest-room--bedside-lamp.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--bedside-lamp.mp3"
"024","hotel","hotelGuestRoom","unlock","assets/audio/words/hotel/hotel-guest-room--unlock.mp3","deploy-cn/assets/audio/words/hotel/hotel-guest-room--unlock.mp3"
"025","hotel","hotelAmenities","pillow","assets/audio/words/hotel/hotel-amenities--pillow.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--pillow.mp3"
"026","hotel","hotelAmenities","blanket","assets/audio/words/hotel/hotel-amenities--blanket.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--blanket.mp3"
"027","hotel","hotelAmenities","bathrobe","assets/audio/words/hotel/hotel-amenities--bathrobe.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--bathrobe.mp3"
"028","hotel","hotelAmenities","toiletries","assets/audio/words/hotel/hotel-amenities--toiletries.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--toiletries.mp3"
"029","hotel","hotelAmenities","shower","assets/audio/words/hotel/hotel-amenities--shower.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--shower.mp3"
"030","hotel","hotelAmenities","inspect","assets/audio/words/hotel/hotel-amenities--inspect.mp3","deploy-cn/assets/audio/words/hotel/hotel-amenities--inspect.mp3"
"031","hotel","hotelHousekeeping","housekeeping","assets/audio/words/hotel/hotel-housekeeping--housekeeping.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--housekeeping.mp3"
"032","hotel","hotelHousekeeping","housekeeper","assets/audio/words/hotel/hotel-housekeeping--housekeeper.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--housekeeper.mp3"
"033","hotel","hotelHousekeeping","linen","assets/audio/words/hotel/hotel-housekeeping--linen.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--linen.mp3"
"034","hotel","hotelHousekeeping","extra towel","assets/audio/words/hotel/hotel-housekeeping--extra-towel.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--extra-towel.mp3"
"035","hotel","hotelHousekeeping","maintenance","assets/audio/words/hotel/hotel-housekeeping--maintenance.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--maintenance.mp3"
"036","hotel","hotelHousekeeping","contact","assets/audio/words/hotel/hotel-housekeeping--contact.mp3","deploy-cn/assets/audio/words/hotel/hotel-housekeeping--contact.mp3"
"037","hotel","hotelCheckout","folio","assets/audio/words/hotel/hotel-checkout--folio.mp3","deploy-cn/assets/audio/words/hotel/hotel-checkout--folio.mp3"
"038","hotel","hotelCheckout","charge","assets/audio/words/hotel/hotel-checkout--charge.mp3","deploy-cn/assets/audio/words/hotel/hotel-checkout--charge.mp3"
"039","hotel","hotelCheckout","refund","assets/audio/words/hotel/hotel-checkout--refund.mp3","deploy-cn/assets/audio/words/hotel/hotel-checkout--refund.mp3"
"040","hotel","hotelCheckout","departure","assets/audio/words/hotel/hotel-checkout--departure.mp3","deploy-cn/assets/audio/words/hotel/hotel-checkout--departure.mp3"
"041","hotel","hotelCheckout","porter","assets/audio/words/hotel/hotel-checkout--porter.mp3","deploy-cn/assets/audio/words/hotel/hotel-checkout--porter.mp3"
