index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","metro","metroEntrance","metro station","assets/audio/words/metro/metro-entrance--metro-station.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--metro-station.mp3"
"002","metro","metroEntrance","metro symbol","assets/audio/words/metro/metro-entrance--metro-symbol.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--metro-symbol.mp3"
"003","metro","metroEntrance","concourse","assets/audio/words/metro/metro-entrance--concourse.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--concourse.mp3"
"004","metro","metroEntrance","commuter","assets/audio/words/metro/metro-entrance--commuter.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--commuter.mp3"
"005","metro","metroEntrance","underpass","assets/audio/words/metro/metro-entrance--underpass.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--underpass.mp3"
"006","metro","metroEntrance","descend","assets/audio/words/metro/metro-entrance--descend.mp3","deploy-cn/assets/audio/words/metro/metro-entrance--descend.mp3"
"007","metro","metroTicketing","fare machine","assets/audio/words/metro/metro-ticketing--fare-machine.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--fare-machine.mp3"
"008","metro","metroTicketing","travel pass","assets/audio/words/metro/metro-ticketing--travel-pass.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--travel-pass.mp3"
"009","metro","metroTicketing","fare zone","assets/audio/words/metro/metro-ticketing--fare-zone.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--fare-zone.mp3"
"010","metro","metroTicketing","stored value","assets/audio/words/metro/metro-ticketing--stored-value.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--stored-value.mp3"
"011","metro","metroTicketing","balance","assets/audio/words/metro/metro-ticketing--balance.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--balance.mp3"
"012","metro","metroTicketing","validate","assets/audio/words/metro/metro-ticketing--validate.mp3","deploy-cn/assets/audio/words/metro/metro-ticketing--validate.mp3"
"013","metro","metroFareGates","turnstile","assets/audio/words/metro/metro-fare-gates--turnstile.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--turnstile.mp3"
"014","metro","metroFareGates","card reader","assets/audio/words/metro/metro-fare-gates--card-reader.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--card-reader.mp3"
"015","metro","metroFareGates","barrier flap","assets/audio/words/metro/metro-fare-gates--barrier-flap.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--barrier-flap.mp3"
"016","metro","metroFareGates","entry lane","assets/audio/words/metro/metro-fare-gates--entry-lane.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--entry-lane.mp3"
"017","metro","metroFareGates","status light","assets/audio/words/metro/metro-fare-gates--status-light.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--status-light.mp3"
"018","metro","metroFareGates","tap in","assets/audio/words/metro/metro-fare-gates--tap-in.mp3","deploy-cn/assets/audio/words/metro/metro-fare-gates--tap-in.mp3"
"019","metro","metroPlatform","platform","assets/audio/words/metro/metro-platform--platform.mp3","deploy-cn/assets/audio/words/metro/metro-platform--platform.mp3"
"020","metro","metroPlatform","tactile paving","assets/audio/words/metro/metro-platform--tactile-paving.mp3","deploy-cn/assets/audio/words/metro/metro-platform--tactile-paving.mp3"
"021","metro","metroPlatform","yellow line","assets/audio/words/metro/metro-platform--yellow-line.mp3","deploy-cn/assets/audio/words/metro/metro-platform--yellow-line.mp3"
"022","metro","metroPlatform","track","assets/audio/words/metro/metro-platform--track.mp3","deploy-cn/assets/audio/words/metro/metro-platform--track.mp3"
"023","metro","metroPlatform","train indicator","assets/audio/words/metro/metro-platform--train-indicator.mp3","deploy-cn/assets/audio/words/metro/metro-platform--train-indicator.mp3"
"024","metro","metroPlatform","stand clear","assets/audio/words/metro/metro-platform--stand-clear.mp3","deploy-cn/assets/audio/words/metro/metro-platform--stand-clear.mp3"
"025","metro","metroCarriage","carriage","assets/audio/words/metro/metro-carriage--carriage.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--carriage.mp3"
"026","metro","metroCarriage","handrail","assets/audio/words/metro/metro-carriage--handrail.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--handrail.mp3"
"027","metro","metroCarriage","grab pole","assets/audio/words/metro/metro-carriage--grab-pole.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--grab-pole.mp3"
"028","metro","metroCarriage","route diagram","assets/audio/words/metro/metro-carriage--route-diagram.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--route-diagram.mp3"
"029","metro","metroCarriage","priority area","assets/audio/words/metro/metro-carriage--priority-area.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--priority-area.mp3"
"030","metro","metroCarriage","move inside","assets/audio/words/metro/metro-carriage--move-inside.mp3","deploy-cn/assets/audio/words/metro/metro-carriage--move-inside.mp3"
"031","metro","metroTransfer","interchange","assets/audio/words/metro/metro-transfer--interchange.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--interchange.mp3"
"032","metro","metroTransfer","passageway","assets/audio/words/metro/metro-transfer--passageway.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--passageway.mp3"
"033","metro","metroTransfer","junction","assets/audio/words/metro/metro-transfer--junction.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--junction.mp3"
"034","metro","metroTransfer","directional arrow","assets/audio/words/metro/metro-transfer--directional-arrow.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--directional-arrow.mp3"
"035","metro","metroTransfer","line color","assets/audio/words/metro/metro-transfer--line-color.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--line-color.mp3"
"036","metro","metroTransfer","make a connection","assets/audio/words/metro/metro-transfer--make-connection.mp3","deploy-cn/assets/audio/words/metro/metro-transfer--make-connection.mp3"
"037","metro","metroExit","way out","assets/audio/words/metro/metro-exit--way-out.mp3","deploy-cn/assets/audio/words/metro/metro-exit--way-out.mp3"
"038","metro","metroExit","landmark","assets/audio/words/metro/metro-exit--landmark.mp3","deploy-cn/assets/audio/words/metro/metro-exit--landmark.mp3"
"039","metro","metroExit","neighborhood","assets/audio/words/metro/metro-exit--neighborhood.mp3","deploy-cn/assets/audio/words/metro/metro-exit--neighborhood.mp3"
"040","metro","metroExit","ground level","assets/audio/words/metro/metro-exit--ground-level.mp3","deploy-cn/assets/audio/words/metro/metro-exit--ground-level.mp3"
"041","metro","metroExit","station plaza","assets/audio/words/metro/metro-exit--station-plaza.mp3","deploy-cn/assets/audio/words/metro/metro-exit--station-plaza.mp3"
"042","metro","metroExit","emerge","assets/audio/words/metro/metro-exit--emerge.mp3","deploy-cn/assets/audio/words/metro/metro-exit--emerge.mp3"
"043","metro","metro-station-facilities","help point","assets/audio/words/metro/more--metro-station-facilities--help-point.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--help-point.mp3"
"044","metro","metro-station-facilities","fare chart","assets/audio/words/metro/more--metro-station-facilities--fare-chart.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--fare-chart.mp3"
"045","metro","metro-station-facilities","station clock","assets/audio/words/metro/more--metro-station-facilities--station-clock.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--station-clock.mp3"
"046","metro","metro-station-facilities","platform bench","assets/audio/words/metro/more--metro-station-facilities--platform-bench.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--platform-bench.mp3"
"047","metro","metro-station-facilities","public toilet","assets/audio/words/metro/more--metro-station-facilities--public-toilet.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--public-toilet.mp3"
"048","metro","metro-station-facilities","bicycle rack","assets/audio/words/metro/more--metro-station-facilities--bicycle-rack.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--bicycle-rack.mp3"
"049","metro","metro-station-facilities","emergency intercom","assets/audio/words/metro/more--metro-station-facilities--emergency-intercom.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--emergency-intercom.mp3"
"050","metro","metro-station-facilities","ventilation grille","assets/audio/words/metro/more--metro-station-facilities--ventilation-grille.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--ventilation-grille.mp3"
"051","metro","metro-station-facilities","standing area","assets/audio/words/metro/more--metro-station-facilities--standing-area.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--standing-area.mp3"
"052","metro","metro-station-facilities","station artwork","assets/audio/words/metro/more--metro-station-facilities--station-artwork.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--station-artwork.mp3"
"053","metro","metro-station-facilities","station office","assets/audio/words/metro/more--metro-station-facilities--station-office.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--station-office.mp3"
"054","metro","metro-station-facilities","accessible ramp","assets/audio/words/metro/more--metro-station-facilities--accessible-ramp.mp3","deploy-cn/assets/audio/words/metro/more--metro-station-facilities--accessible-ramp.mp3"
"055","metro","metro-train-carriage","carriage number","assets/audio/words/metro/more--metro-train-carriage--carriage-number.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--carriage-number.mp3"
"056","metro","metro-train-carriage","ceiling strap","assets/audio/words/metro/more--metro-train-carriage--ceiling-strap.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--ceiling-strap.mp3"
"057","metro","metro-train-carriage","driver cab","assets/audio/words/metro/more--metro-train-carriage--driver-cab.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--driver-cab.mp3"
"058","metro","metro-train-carriage","door chime","assets/audio/words/metro/more--metro-train-carriage--door-chime.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--door-chime.mp3"
"059","metro","metro-train-carriage","emergency handle","assets/audio/words/metro/more--metro-train-carriage--emergency-handle.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--emergency-handle.mp3"
"060","metro","metro-train-carriage","carriage display","assets/audio/words/metro/more--metro-train-carriage--carriage-display.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--carriage-display.mp3"
"061","metro","metro-train-carriage","floor marking","assets/audio/words/metro/more--metro-train-carriage--floor-marking.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--floor-marking.mp3"
"062","metro","metro-train-carriage","next-stop indicator","assets/audio/words/metro/more--metro-train-carriage--next-stop-indicator.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--next-stop-indicator.mp3"
"063","metro","metro-train-carriage","audible alert","assets/audio/words/metro/more--metro-train-carriage--audible-alert.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--audible-alert.mp3"
"064","metro","metro-train-carriage","courtesy zone","assets/audio/words/metro/more--metro-train-carriage--courtesy-zone.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--courtesy-zone.mp3"
"065","metro","metro-train-carriage","train operator","assets/audio/words/metro/more--metro-train-carriage--train-operator.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--train-operator.mp3"
"066","metro","metro-train-carriage","train doors","assets/audio/words/metro/more--metro-train-carriage--train-doors.mp3","deploy-cn/assets/audio/words/metro/more--metro-train-carriage--train-doors.mp3"
"067","metro","metro-routes-notices","inbound service","assets/audio/words/metro/more--metro-routes-notices--inbound-service.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--inbound-service.mp3"
"068","metro","metro-routes-notices","outbound service","assets/audio/words/metro/more--metro-routes-notices--outbound-service.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--outbound-service.mp3"
"069","metro","metro-routes-notices","next stop","assets/audio/words/metro/more--metro-routes-notices--next-stop.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--next-stop.mp3"
"070","metro","metro-routes-notices","service update","assets/audio/words/metro/more--metro-routes-notices--service-update.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--service-update.mp3"
"071","metro","metro-routes-notices","temporary closure","assets/audio/words/metro/more--metro-routes-notices--temporary-closure.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--temporary-closure.mp3"
"072","metro","metro-routes-notices","replacement bus","assets/audio/words/metro/more--metro-routes-notices--replacement-bus.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--replacement-bus.mp3"
"073","metro","metro-routes-notices","last service","assets/audio/words/metro/more--metro-routes-notices--last-service.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--last-service.mp3"
"074","metro","metro-routes-notices","peak hours","assets/audio/words/metro/more--metro-routes-notices--peak-hours.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--peak-hours.mp3"
"075","metro","metro-routes-notices","off-peak fare","assets/audio/words/metro/more--metro-routes-notices--off-peak-fare.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--off-peak-fare.mp3"
"076","metro","metro-routes-notices","mind the gap","assets/audio/words/metro/more--metro-routes-notices--mind-the-gap.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--mind-the-gap.mp3"
"077","metro","metro-routes-notices","alight here","assets/audio/words/metro/more--metro-routes-notices--alight-here.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--alight-here.mp3"
"078","metro","metro-routes-notices","connect here","assets/audio/words/metro/more--metro-routes-notices--connect-here.mp3","deploy-cn/assets/audio/words/metro/more--metro-routes-notices--connect-here.mp3"
