index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","office","officeEntrance","lobby","assets/audio/words/office/office-entrance--lobby.mp3","deploy-cn/assets/audio/words/office/office-entrance--lobby.mp3"
"002","office","officeEntrance","reception","assets/audio/words/office/office-entrance--reception.mp3","deploy-cn/assets/audio/words/office/office-entrance--reception.mp3"
"003","office","officeEntrance","name badge","assets/audio/words/office/office-entrance--name-badge.mp3","deploy-cn/assets/audio/words/office/office-entrance--name-badge.mp3"
"004","office","officeEntrance","appointment","assets/audio/words/office/office-entrance--appointment.mp3","deploy-cn/assets/audio/words/office/office-entrance--appointment.mp3"
"005","office","officeEntrance","directory","assets/audio/words/office/office-entrance--directory.mp3","deploy-cn/assets/audio/words/office/office-entrance--directory.mp3"
"006","office","officeEntrance","register","assets/audio/words/office/office-entrance--register.mp3","deploy-cn/assets/audio/words/office/office-entrance--register.mp3"
"007","office","receptionArea","receptionist","assets/audio/words/office/reception-area--receptionist.mp3","deploy-cn/assets/audio/words/office/reception-area--receptionist.mp3"
"008","office","receptionArea","visitor log","assets/audio/words/office/reception-area--visitor-log.mp3","deploy-cn/assets/audio/words/office/reception-area--visitor-log.mp3"
"009","office","receptionArea","appointment slip","assets/audio/words/office/reception-area--appointment-slip.mp3","deploy-cn/assets/audio/words/office/reception-area--appointment-slip.mp3"
"010","office","receptionArea","waiting area","assets/audio/words/office/reception-area--waiting-area.mp3","deploy-cn/assets/audio/words/office/reception-area--waiting-area.mp3"
"011","office","receptionArea","badge clip","assets/audio/words/office/reception-area--badge-clip.mp3","deploy-cn/assets/audio/words/office/reception-area--badge-clip.mp3"
"012","office","receptionArea","confirm","assets/audio/words/office/reception-area--confirm.mp3","deploy-cn/assets/audio/words/office/reception-area--confirm.mp3"
"013","office","workstation","workstation","assets/audio/words/office/workstation--workstation.mp3","deploy-cn/assets/audio/words/office/workstation--workstation.mp3"
"014","office","workstation","monitor","assets/audio/words/office/workstation--monitor.mp3","deploy-cn/assets/audio/words/office/workstation--monitor.mp3"
"015","office","workstation","keyboard","assets/audio/words/office/workstation--keyboard.mp3","deploy-cn/assets/audio/words/office/workstation--keyboard.mp3"
