index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","restaurant","restaurantEntrance","restaurant facade","assets/audio/words/restaurant/restaurant-entrance--restaurant-facade.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--restaurant-facade.mp3"
"002","restaurant","restaurantEntrance","entryway","assets/audio/words/restaurant/restaurant-entrance--entryway.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--entryway.mp3"
"003","restaurant","restaurantEntrance","ambience","assets/audio/words/restaurant/restaurant-entrance--ambience.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--ambience.mp3"
"004","restaurant","restaurantEntrance","dress code","assets/audio/words/restaurant/restaurant-entrance--dress-code.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--dress-code.mp3"
"005","restaurant","restaurantEntrance","coat check","assets/audio/words/restaurant/restaurant-entrance--coat-check.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--coat-check.mp3"
"006","restaurant","restaurantEntrance","greet","assets/audio/words/restaurant/restaurant-entrance--greet.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-entrance--greet.mp3"
"007","restaurant","restaurantSeating","maître d’","assets/audio/words/restaurant/restaurant-seating--maitre-d.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--maitre-d.mp3"
"008","restaurant","restaurantSeating","waiting list","assets/audio/words/restaurant/restaurant-seating--waiting-list.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--waiting-list.mp3"
"009","restaurant","restaurantSeating","party size","assets/audio/words/restaurant/restaurant-seating--party-size.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--party-size.mp3"
"010","restaurant","restaurantSeating","booth request","assets/audio/words/restaurant/restaurant-seating--booth-request.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--booth-request.mp3"
"011","restaurant","restaurantSeating","high chair","assets/audio/words/restaurant/restaurant-seating--high-chair.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--high-chair.mp3"
"012","restaurant","restaurantSeating","follow","assets/audio/words/restaurant/restaurant-seating--follow.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-seating--follow.mp3"
"013","restaurant","restaurantDiningTable","place setting","assets/audio/words/restaurant/restaurant-dining-table--place-setting.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--place-setting.mp3"
"014","restaurant","restaurantDiningTable","placemat","assets/audio/words/restaurant/restaurant-dining-table--placemat.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--placemat.mp3"
"015","restaurant","restaurantDiningTable","centerpiece","assets/audio/words/restaurant/restaurant-dining-table--centerpiece.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--centerpiece.mp3"
"016","restaurant","restaurantDiningTable","condiment","assets/audio/words/restaurant/restaurant-dining-table--condiment.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--condiment.mp3"
"017","restaurant","restaurantDiningTable","wine list","assets/audio/words/restaurant/restaurant-dining-table--wine-list.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--wine-list.mp3"
"018","restaurant","restaurantDiningTable","compare","assets/audio/words/restaurant/restaurant-dining-table--compare.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-dining-table--compare.mp3"
"019","restaurant","restaurantOrdering","entrée","assets/audio/words/restaurant/restaurant-ordering--entree.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-ordering--entree.mp3"
"020","restaurant","restaurantOrdering","appetizer","assets/audio/words/restaurant/restaurant-ordering--appetizer.mp3","deploy-cn/assets/audio/words/restaurant/restaurant-ordering--appetizer.mp3"
