index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","supermarket","supermarketEntrance","storefront","assets/audio/words/supermarket/supermarket-entrance--storefront.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--storefront.mp3"
"002","supermarket","supermarketEntrance","automatic doors","assets/audio/words/supermarket/supermarket-entrance--automatic-doors.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--automatic-doors.mp3"
"003","supermarket","supermarketEntrance","cart corral","assets/audio/words/supermarket/supermarket-entrance--cart-corral.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--cart-corral.mp3"
"004","supermarket","supermarketEntrance","store directory","assets/audio/words/supermarket/supermarket-entrance--store-directory.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--store-directory.mp3"
"005","supermarket","supermarketEntrance","shopping list","assets/audio/words/supermarket/supermarket-entrance--shopping-list.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--shopping-list.mp3"
"006","supermarket","supermarketEntrance","retrieve","assets/audio/words/supermarket/supermarket-entrance--retrieve.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-entrance--retrieve.mp3"
"007","supermarket","supermarketGrocery","pantry staple","assets/audio/words/supermarket/supermarket-grocery--pantry-staple.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--pantry-staple.mp3"
"008","supermarket","supermarketGrocery","cereal box","assets/audio/words/supermarket/supermarket-grocery--cereal-box.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--cereal-box.mp3"
"009","supermarket","supermarketGrocery","canned goods","assets/audio/words/supermarket/supermarket-grocery--canned-goods.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--canned-goods.mp3"
"010","supermarket","supermarketGrocery","pasta packet","assets/audio/words/supermarket/supermarket-grocery--pasta-packet.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--pasta-packet.mp3"
"011","supermarket","supermarketGrocery","unit price","assets/audio/words/supermarket/supermarket-grocery--unit-price.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--unit-price.mp3"
"012","supermarket","supermarketGrocery","track down","assets/audio/words/supermarket/supermarket-grocery--track-down.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-grocery--track-down.mp3"
"013","supermarket","supermarketFresh","produce mister","assets/audio/words/supermarket/supermarket-fresh--produce-mister.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--produce-mister.mp3"
"014","supermarket","supermarketFresh","deli case","assets/audio/words/supermarket/supermarket-fresh--deli-case.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--deli-case.mp3"
"015","supermarket","supermarketFresh","bakery loaf","assets/audio/words/supermarket/supermarket-fresh--bakery-loaf.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--bakery-loaf.mp3"
"016","supermarket","supermarketFresh","egg carton","assets/audio/words/supermarket/supermarket-fresh--egg-carton.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--egg-carton.mp3"
"017","supermarket","supermarketFresh","use-by date","assets/audio/words/supermarket/supermarket-fresh--use-by-date.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--use-by-date.mp3"
"018","supermarket","supermarketFresh","examine","assets/audio/words/supermarket/supermarket-fresh--examine.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-fresh--examine.mp3"
"019","supermarket","supermarketFrozen","freezer cabinet","assets/audio/words/supermarket/supermarket-frozen--freezer-cabinet.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--freezer-cabinet.mp3"
"020","supermarket","supermarketFrozen","freezer door","assets/audio/words/supermarket/supermarket-frozen--freezer-door.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--freezer-door.mp3"
"021","supermarket","supermarketFrozen","frozen meal","assets/audio/words/supermarket/supermarket-frozen--frozen-meal.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--frozen-meal.mp3"
"022","supermarket","supermarketFrozen","ice cream tub","assets/audio/words/supermarket/supermarket-frozen--ice-cream-tub.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--ice-cream-tub.mp3"
"023","supermarket","supermarketFrozen","cold chain","assets/audio/words/supermarket/supermarket-frozen--cold-chain.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--cold-chain.mp3"
"024","supermarket","supermarketFrozen","pick out","assets/audio/words/supermarket/supermarket-frozen--pick-out.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-frozen--pick-out.mp3"
"025","supermarket","supermarketHelp","store associate","assets/audio/words/supermarket/supermarket-help--store-associate.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--store-associate.mp3"
"026","supermarket","supermarketHelp","product locator","assets/audio/words/supermarket/supermarket-help--product-locator.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--product-locator.mp3"
"027","supermarket","supermarketHelp","out of stock","assets/audio/words/supermarket/supermarket-help--out-of-stock.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--out-of-stock.mp3"
"028","supermarket","supermarketHelp","restocking trolley","assets/audio/words/supermarket/supermarket-help--restocking-trolley.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--restocking-trolley.mp3"
"029","supermarket","supermarketHelp","substitute item","assets/audio/words/supermarket/supermarket-help--substitute-item.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--substitute-item.mp3"
"030","supermarket","supermarketHelp","inquire","assets/audio/words/supermarket/supermarket-help--inquire.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-help--inquire.mp3"
"031","supermarket","supermarketCheckout","scanner bed","assets/audio/words/supermarket/supermarket-checkout--scanner-bed.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--scanner-bed.mp3"
"032","supermarket","supermarketCheckout","lane divider","assets/audio/words/supermarket/supermarket-checkout--lane-divider.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--lane-divider.mp3"
"033","supermarket","supermarketCheckout","self-checkout kiosk","assets/audio/words/supermarket/supermarket-checkout--self-checkout-kiosk.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--self-checkout-kiosk.mp3"
"034","supermarket","supermarketCheckout","loyalty points","assets/audio/words/supermarket/supermarket-checkout--loyalty-points.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--loyalty-points.mp3"
"035","supermarket","supermarketCheckout","contactless payment","assets/audio/words/supermarket/supermarket-checkout--contactless-payment.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--contactless-payment.mp3"
"036","supermarket","supermarketCheckout","unload","assets/audio/words/supermarket/supermarket-checkout--unload.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-checkout--unload.mp3"
"037","supermarket","supermarketPacking","bagging station","assets/audio/words/supermarket/supermarket-packing--bagging-station.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--bagging-station.mp3"
"038","supermarket","supermarketPacking","reusable tote","assets/audio/words/supermarket/supermarket-packing--reusable-tote.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--reusable-tote.mp3"
"039","supermarket","supermarketPacking","cooler pouch","assets/audio/words/supermarket/supermarket-packing--cooler-pouch.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--cooler-pouch.mp3"
"040","supermarket","supermarketPacking","fragile item","assets/audio/words/supermarket/supermarket-packing--fragile-item.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--fragile-item.mp3"
"041","supermarket","supermarketPacking","shopping haul","assets/audio/words/supermarket/supermarket-packing--shopping-haul.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--shopping-haul.mp3"
"042","supermarket","supermarketPacking","arrange","assets/audio/words/supermarket/supermarket-packing--arrange.mp3","deploy-cn/assets/audio/words/supermarket/supermarket-packing--arrange.mp3"
"043","supermarket","supermarket-sections","bulk bins","assets/audio/words/supermarket/more--supermarket-sections--bulk-bins.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--bulk-bins.mp3"
"044","supermarket","supermarket-sections","dairy case","assets/audio/words/supermarket/more--supermarket-sections--dairy-case.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--dairy-case.mp3"
"045","supermarket","supermarket-sections","meat department","assets/audio/words/supermarket/more--supermarket-sections--meat-department.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--meat-department.mp3"
"046","supermarket","supermarket-sections","bakery department","assets/audio/words/supermarket/more--supermarket-sections--bakery-department.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--bakery-department.mp3"
"047","supermarket","supermarket-sections","deli department","assets/audio/words/supermarket/more--supermarket-sections--deli-department.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--deli-department.mp3"
"048","supermarket","supermarket-sections","household goods","assets/audio/words/supermarket/more--supermarket-sections--household-goods.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--household-goods.mp3"
"049","supermarket","supermarket-sections","personal care","assets/audio/words/supermarket/more--supermarket-sections--personal-care.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--personal-care.mp3"
"050","supermarket","supermarket-sections","pet supplies","assets/audio/words/supermarket/more--supermarket-sections--pet-supplies.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--pet-supplies.mp3"
"051","supermarket","supermarket-sections","baby products","assets/audio/words/supermarket/more--supermarket-sections--baby-products.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--baby-products.mp3"
"052","supermarket","supermarket-sections","floral department","assets/audio/words/supermarket/more--supermarket-sections--floral-department.mp3","deploy-cn/assets/audio/words/supermarket/more--supermarket-sections--floral-department.mp3"
