index,chapterId,sceneIdOrPageId,textToSpeak,assetsPath,deployCnPath
"001","zoo","entrance","gate","assets/audio/words/zoo/zoo-gate.mp3","deploy-cn/assets/audio/words/zoo/zoo-gate.mp3"
"002","zoo","entrance","exhibit","assets/audio/words/zoo/entrance--sign.mp3","deploy-cn/assets/audio/words/zoo/entrance--sign.mp3"
"003","zoo","entrance","ticket booth","assets/audio/words/zoo/entrance--ticketbooth.mp3","deploy-cn/assets/audio/words/zoo/entrance--ticketbooth.mp3"
"004","zoo","ticket","ticket","assets/audio/words/zoo/ticket--ticket.mp3","deploy-cn/assets/audio/words/zoo/ticket--ticket.mp3"
"005","zoo","ticket","ticket seller","assets/audio/words/zoo/ticket--seller.mp3","deploy-cn/assets/audio/words/zoo/ticket--seller.mp3"
"006","zoo","ticket","map","assets/audio/words/zoo/ticket--map.mp3","deploy-cn/assets/audio/words/zoo/ticket--map.mp3"
"007","zoo","monkey","monkey","assets/audio/words/zoo/monkey.mp3","deploy-cn/assets/audio/words/zoo/monkey.mp3"
"008","zoo","monkey","enclosure","assets/audio/words/zoo/monkey--cage.mp3","deploy-cn/assets/audio/words/zoo/monkey--cage.mp3"
"009","zoo","monkey","banana","assets/audio/words/zoo/monkey--banana.mp3","deploy-cn/assets/audio/words/zoo/monkey--banana.mp3"
"010","zoo","monkey","climb","assets/audio/words/zoo/monkey--climb.mp3","deploy-cn/assets/audio/words/zoo/monkey--climb.mp3"
"011","zoo","monkey","tail","assets/audio/words/zoo/monkey--tail.mp3","deploy-cn/assets/audio/words/zoo/monkey--tail.mp3"
"012","zoo","monkey","visitor","assets/audio/words/zoo/monkey--visitor.mp3","deploy-cn/assets/audio/words/zoo/monkey--visitor.mp3"
"013","zoo","elephant","elephant","assets/audio/words/zoo/elephant.mp3","deploy-cn/assets/audio/words/zoo/elephant.mp3"
"014","zoo","elephant","trunk","assets/audio/words/zoo/elephant--trunk.mp3","deploy-cn/assets/audio/words/zoo/elephant--trunk.mp3"
"015","zoo","elephant","water","assets/audio/words/zoo/elephant--water.mp3","deploy-cn/assets/audio/words/zoo/elephant--water.mp3"
"016","zoo","elephant","spray","assets/audio/words/zoo/elephant--spray.mp3","deploy-cn/assets/audio/words/zoo/elephant--spray.mp3"
"017","zoo","elephant","huge","assets/audio/words/zoo/elephant--huge.mp3","deploy-cn/assets/audio/words/zoo/elephant--huge.mp3"
"018","zoo","elephant","keeper","assets/audio/words/zoo/elephant--keeper.mp3","deploy-cn/assets/audio/words/zoo/elephant--keeper.mp3"
"019","zoo","lion","lion","assets/audio/words/zoo/lion--lion.mp3","deploy-cn/assets/audio/words/zoo/lion--lion.mp3"
"020","zoo","lion","predator","assets/audio/words/zoo/lion--rock.mp3","deploy-cn/assets/audio/words/zoo/lion--rock.mp3"
"021","zoo","lion","shade","assets/audio/words/zoo/lion--shade.mp3","deploy-cn/assets/audio/words/zoo/lion--shade.mp3"
"022","zoo","lion","roar","assets/audio/words/zoo/lion--roar.mp3","deploy-cn/assets/audio/words/zoo/lion--roar.mp3"
"023","zoo","lion","rest","assets/audio/words/zoo/lion--rest.mp3","deploy-cn/assets/audio/words/zoo/lion--rest.mp3"
"024","zoo","lion","fence","assets/audio/words/zoo/lion--fence.mp3","deploy-cn/assets/audio/words/zoo/lion--fence.mp3"
"025","zoo","panda","panda","assets/audio/words/zoo/panda--panda.mp3","deploy-cn/assets/audio/words/zoo/panda--panda.mp3"
"026","zoo","panda","bamboo","assets/audio/words/zoo/panda--bamboo.mp3","deploy-cn/assets/audio/words/zoo/panda--bamboo.mp3"
"027","zoo","panda","eat","assets/audio/words/zoo/panda--eat.mp3","deploy-cn/assets/audio/words/zoo/panda--eat.mp3"
"028","zoo","panda","cute","assets/audio/words/zoo/panda--cute.mp3","deploy-cn/assets/audio/words/zoo/panda--cute.mp3"
"029","zoo","panda","sleepy","assets/audio/words/zoo/panda--sleepy.mp3","deploy-cn/assets/audio/words/zoo/panda--sleepy.mp3"
"030","zoo","panda","fur","assets/audio/words/zoo/panda--fur.mp3","deploy-cn/assets/audio/words/zoo/panda--fur.mp3"
"031","zoo","panda","climb","assets/audio/words/zoo/panda--climb.mp3","deploy-cn/assets/audio/words/zoo/panda--climb.mp3"
"032","zoo","giraffe","giraffe","assets/audio/words/zoo/giraffe--giraffe.mp3","deploy-cn/assets/audio/words/zoo/giraffe--giraffe.mp3"
"033","zoo","giraffe","neck","assets/audio/words/zoo/giraffe--neck.mp3","deploy-cn/assets/audio/words/zoo/giraffe--neck.mp3"
"034","zoo","giraffe","leaves","assets/audio/words/zoo/giraffe--leaves.mp3","deploy-cn/assets/audio/words/zoo/giraffe--leaves.mp3"
"035","zoo","giraffe","tall","assets/audio/words/zoo/giraffe--tall.mp3","deploy-cn/assets/audio/words/zoo/giraffe--tall.mp3"
"036","zoo","giraffe","spots","assets/audio/words/zoo/giraffe--spots.mp3","deploy-cn/assets/audio/words/zoo/giraffe--spots.mp3"
"037","zoo","giraffe","tree","assets/audio/words/zoo/giraffe--tree.mp3","deploy-cn/assets/audio/words/zoo/giraffe--tree.mp3"
"038","zoo","giraffe","reach","assets/audio/words/zoo/giraffe--reach.mp3","deploy-cn/assets/audio/words/zoo/giraffe--reach.mp3"
"039","zoo","tiger","tiger","assets/audio/words/zoo/tiger--tiger.mp3","deploy-cn/assets/audio/words/zoo/tiger--tiger.mp3"
"040","zoo","tiger","stripes","assets/audio/words/zoo/tiger--stripes.mp3","deploy-cn/assets/audio/words/zoo/tiger--stripes.mp3"
"041","zoo","tiger","forest","assets/audio/words/zoo/tiger--forest.mp3","deploy-cn/assets/audio/words/zoo/tiger--forest.mp3"
"042","zoo","tiger","claw","assets/audio/words/zoo/tiger--claw.mp3","deploy-cn/assets/audio/words/zoo/tiger--claw.mp3"
"043","zoo","tiger","quiet","assets/audio/words/zoo/tiger--quiet.mp3","deploy-cn/assets/audio/words/zoo/tiger--quiet.mp3"
