"priority","chapterId","sceneIdOrPageId","itemType","audioType","displayWord","textToSpeak","targetFileName","assetsPath","deployCnPath","currentExists","notes"
"P0","zoo","entrance","hotspot","word","gate","gate","zoo-gate.mp3","assets/audio/words/zoo/zoo-gate.mp3","deploy-cn/assets/audio/words/zoo/zoo-gate.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
"P0","zoo","entrance","hotspot","sentence","gate","We walk through the zoo gate.","zoo-gate.mp3","assets/audio/sentences/zoo/zoo-gate.mp3","deploy-cn/assets/audio/sentences/zoo/zoo-gate.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
"P0","zoo","entrance","hotspot","word","exhibit","exhibit","entrance--sign.mp3","assets/audio/words/zoo/entrance--sign.mp3","deploy-cn/assets/audio/words/zoo/entrance--sign.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","entrance","hotspot","sentence","exhibit","The exhibit shows where the animals live.","entrance--sign.mp3","assets/audio/sentences/zoo/entrance--sign.mp3","deploy-cn/assets/audio/sentences/zoo/entrance--sign.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","entrance","hotspot","word","ticket booth","ticket booth","entrance--ticketbooth.mp3","assets/audio/words/zoo/entrance--ticketbooth.mp3","deploy-cn/assets/audio/words/zoo/entrance--ticketbooth.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","entrance","hotspot","sentence","ticket booth","The ticket booth is on the left.","entrance--ticketbooth.mp3","assets/audio/sentences/zoo/entrance--ticketbooth.mp3","deploy-cn/assets/audio/sentences/zoo/entrance--ticketbooth.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","word","ticket","ticket","ticket--ticket.mp3","assets/audio/words/zoo/ticket--ticket.mp3","deploy-cn/assets/audio/words/zoo/ticket--ticket.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","sentence","ticket","I need one ticket, please.","ticket--ticket.mp3","assets/audio/sentences/zoo/ticket--ticket.mp3","deploy-cn/assets/audio/sentences/zoo/ticket--ticket.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","word","ticket seller","ticket seller","ticket--seller.mp3","assets/audio/words/zoo/ticket--seller.mp3","deploy-cn/assets/audio/words/zoo/ticket--seller.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","sentence","ticket seller","The ticket seller gives me a map.","ticket--seller.mp3","assets/audio/sentences/zoo/ticket--seller.mp3","deploy-cn/assets/audio/sentences/zoo/ticket--seller.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","word","map","map","ticket--map.mp3","assets/audio/words/zoo/ticket--map.mp3","deploy-cn/assets/audio/words/zoo/ticket--map.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","ticket","hotspot","sentence","map","Let's check the map.","ticket--map.mp3","assets/audio/sentences/zoo/ticket--map.mp3","deploy-cn/assets/audio/sentences/zoo/ticket--map.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","word","monkey","monkey","monkey.mp3","assets/audio/words/zoo/monkey.mp3","deploy-cn/assets/audio/words/zoo/monkey.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
"P0","zoo","monkey","hotspot","sentence","monkey","The monkey jumps from tree to tree.","monkey.mp3","assets/audio/sentences/zoo/monkey.mp3","deploy-cn/assets/audio/sentences/zoo/monkey.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
"P0","zoo","monkey","hotspot","word","enclosure","enclosure","monkey--cage.mp3","assets/audio/words/zoo/monkey--cage.mp3","deploy-cn/assets/audio/words/zoo/monkey--cage.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","sentence","enclosure","The monkeys play inside the enclosure.","monkey--cage.mp3","assets/audio/sentences/zoo/monkey--cage.mp3","deploy-cn/assets/audio/sentences/zoo/monkey--cage.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","word","banana","banana","monkey--banana.mp3","assets/audio/words/zoo/monkey--banana.mp3","deploy-cn/assets/audio/words/zoo/monkey--banana.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","sentence","banana","The monkey is eating a banana.","monkey--banana.mp3","assets/audio/sentences/zoo/monkey--banana.mp3","deploy-cn/assets/audio/sentences/zoo/monkey--banana.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","action","word","climb","climb","monkey--climb.mp3","assets/audio/words/zoo/monkey--climb.mp3","deploy-cn/assets/audio/words/zoo/monkey--climb.mp3","false","Planned stable path; audio has not been generated. Display word appears 2 times globally."
"P0","zoo","monkey","action","sentence","climb","The monkey is climbing!","monkey--climb.mp3","assets/audio/sentences/zoo/monkey--climb.mp3","deploy-cn/assets/audio/sentences/zoo/monkey--climb.mp3","false","Planned stable path; audio has not been generated. Display word appears 2 times globally."
"P0","zoo","monkey","hotspot","word","tail","tail","monkey--tail.mp3","assets/audio/words/zoo/monkey--tail.mp3","deploy-cn/assets/audio/words/zoo/monkey--tail.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","sentence","tail","The monkey has a long tail.","monkey--tail.mp3","assets/audio/sentences/zoo/monkey--tail.mp3","deploy-cn/assets/audio/sentences/zoo/monkey--tail.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","word","visitor","visitor","monkey--visitor.mp3","assets/audio/words/zoo/monkey--visitor.mp3","deploy-cn/assets/audio/words/zoo/monkey--visitor.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","monkey","hotspot","sentence","visitor","The visitor takes a photo.","monkey--visitor.mp3","assets/audio/sentences/zoo/monkey--visitor.mp3","deploy-cn/assets/audio/sentences/zoo/monkey--visitor.mp3","false","Planned stable path; audio has not been generated."
"P0","zoo","elephant","hotspot","word","elephant","elephant","elephant.mp3","assets/audio/words/zoo/elephant.mp3","deploy-cn/assets/audio/words/zoo/elephant.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
"P0","zoo","elephant","hotspot","sentence","elephant","The elephant walks slowly beside the water.","elephant.mp3","assets/audio/sentences/zoo/elephant.mp3","deploy-cn/assets/audio/sentences/zoo/elephant.mp3","true","Existing Zoo audioPilot MP3 path retained for compatibility."
